State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andhra-pradesh,2018,3,518502,1300146,1300146
andhra-pradesh,2018,3,533437,421968,421968
andhra-pradesh,2018,3,518501,296154,296154
andhra-pradesh,2018,3,517501,295403,295403
andhra-pradesh,2018,3,515001,276595,276595
andhra-pradesh,2018,3,530016,234494,234494
andhra-pradesh,2018,3,517507,233347,233347
andhra-pradesh,2018,3,516259,220165,220165
andhra-pradesh,2018,3,520011,213275,213275
andhra-pradesh,2018,3,520001,206435,206435
andhra-pradesh,2018,4,518502,441662,441662
andhra-pradesh,2018,4,517501,423357,423357
andhra-pradesh,2018,4,530016,367619,367619
andhra-pradesh,2018,4,515001,355695,355695
andhra-pradesh,2018,4,517507,318300,318300
andhra-pradesh,2018,4,530003,277131,277131
andhra-pradesh,2018,4,516001,269798,269798
andhra-pradesh,2018,4,520010,250261,250261
andhra-pradesh,2018,4,530017,248725,248725
andhra-pradesh,2018,4,518501,248520,248520
andhra-pradesh,2019,1,530001,950821,950821
andhra-pradesh,2019,1,517501,922416,922416
andhra-pradesh,2019,1,520001,814616,814616
andhra-pradesh,2019,1,530016,684611,684611
andhra-pradesh,2019,1,517507,671661,671661
andhra-pradesh,2019,1,515001,609682,609682
andhra-pradesh,2019,1,518502,545426,545426
andhra-pradesh,2019,1,530003,527667,527667
andhra-pradesh,2019,1,530017,472914,472914
andhra-pradesh,2019,1,520010,460133,460133
andhra-pradesh,2019,2,530001,2602865,2602865
andhra-pradesh,2019,2,520001,1828617,1828617
andhra-pradesh,2019,2,517501,949187,949187
andhra-pradesh,2019,2,522001,839909,839909
andhra-pradesh,2019,2,530016,793798,793798
andhra-pradesh,2019,2,517507,760335,760335
andhra-pradesh,2019,2,515001,567306,567306
andhra-pradesh,2019,2,530003,520142,520142
andhra-pradesh,2019,2,520010,490697,490697
andhra-pradesh,2019,2,530017,480905,480905
andhra-pradesh,2019,3,530001,2944756,2944756
andhra-pradesh,2019,3,520001,1905190,1905190
andhra-pradesh,2019,3,517501,1434209,1434209
andhra-pradesh,2019,3,530016,1196020,1196020
andhra-pradesh,2019,3,517507,1060513,1060513
andhra-pradesh,2019,3,522001,1003916,1003916
andhra-pradesh,2019,3,515001,868052,868052
andhra-pradesh,2019,3,530003,858005,858005
andhra-pradesh,2019,3,530017,799271,799271
andhra-pradesh,2019,3,530026,711726,711726
andhra-pradesh,2019,4,530001,4185063,4185063
andhra-pradesh,2019,4,520001,2544877,2544877
andhra-pradesh,2019,4,517501,1920211,1920211
andhra-pradesh,2019,4,530016,1591033,1591033
andhra-pradesh,2019,4,530026,1438154,1438154
andhra-pradesh,2019,4,517507,1406768,1406768
andhra-pradesh,2019,4,522001,1324202,1324202
andhra-pradesh,2019,4,515001,1202983,1202983
andhra-pradesh,2019,4,530003,1131832,1131832
andhra-pradesh,2019,4,530017,1084796,1084796
andhra-pradesh,2020,1,530026,6695271,6695271
andhra-pradesh,2020,1,517501,2196548,2196548
andhra-pradesh,2020,1,530016,1661816,1661816
andhra-pradesh,2020,1,517507,1554974,1554974
andhra-pradesh,2020,1,515001,1346804,1346804
andhra-pradesh,2020,1,530003,1159480,1159480
andhra-pradesh,2020,1,524002,1125194,1125194
andhra-pradesh,2020,1,530017,1104748,1104748
andhra-pradesh,2020,1,520010,1098395,1098395
andhra-pradesh,2020,1,522001,1058410,1058410
andhra-pradesh,2020,2,530026,4994637,4994637
andhra-pradesh,2020,2,517501,1708935,1708935
andhra-pradesh,2020,2,517507,1575118,1575118
andhra-pradesh,2020,2,524002,1553283,1553283
andhra-pradesh,2020,2,530016,1067022,1067022
andhra-pradesh,2020,2,516001,1066066,1066066
andhra-pradesh,2020,2,515001,1026587,1026587
andhra-pradesh,2020,2,518002,979822,979822
andhra-pradesh,2020,2,522001,963666,963666
andhra-pradesh,2020,2,520002,956641,956641
andhra-pradesh,2020,3,524002,5194663,5194663
andhra-pradesh,2020,3,530026,4159532,4159532
andhra-pradesh,2020,3,517501,2735691,2735691
andhra-pradesh,2020,3,516001,2534360,2534360
andhra-pradesh,2020,3,517507,2306174,2306174
andhra-pradesh,2020,3,520002,2238996,2238996
andhra-pradesh,2020,3,530016,1921871,1921871
andhra-pradesh,2020,3,515001,1669413,1669413
andhra-pradesh,2020,3,522001,1625687,1625687
andhra-pradesh,2020,3,518002,1514873,1514873
andhra-pradesh,2020,4,524002,5029692,5029692
andhra-pradesh,2020,4,530026,4235146,4235146
andhra-pradesh,2020,4,517501,4125544,4125544
andhra-pradesh,2020,4,517507,3420778,3420778
andhra-pradesh,2020,4,516001,3119905,3119905
andhra-pradesh,2020,4,530016,2981818,2981818
andhra-pradesh,2020,4,515001,2821800,2821800
andhra-pradesh,2020,4,518002,2219953,2219953
andhra-pradesh,2020,4,520010,2170458,2170458
andhra-pradesh,2020,4,530017,2027751,2027751
andhra-pradesh,2021,1,524002,7269657,7269657
andhra-pradesh,2021,1,530026,5875319,5875319
andhra-pradesh,2021,1,517501,4354325,4354325
andhra-pradesh,2021,1,520002,3591058,3591058
andhra-pradesh,2021,1,517507,3378549,3378549
andhra-pradesh,2021,1,530016,3144495,3144495
